#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 19:15:22       0     26     42      -      0      0      0      0      0      0   7001    255      0      0      2      1      0      -      -      0      0      0 
 19:15:23       0     26     42      -      0      0      0      0      0      0   7001    180      0      0      2      1      0      -      -      0      0      1 
 19:15:25       0     25     42      -      0      0      0      0      0      0    810    187      0      0      2      1      0      -      -      0      0      0 
 19:15:26       0     20     41      -      0      0      0      0      0      0    810    180      0      0      2      1      0      -      -      0      0      2 
 19:15:27       0     14     41      -      0      0      0      0      0      0    405    180      0      0      2      1      0      -      -      0      0      0 
 19:15:28       0     12     41      -      0      0      0      0      0      0    405    187      0      0      2      1      0      -      -      0     14     10 
 19:15:29       0     29     42      -     10      7      0      0      0      0  13801   2497      0      0   9605      6      0      -      -      0     13      7 
 19:15:30       0    162     47      -    100     40      0      0      0      0  13801   2827      0      0  10355      6      0      -      -      0     12     93 
 19:15:31       0    202     53      -    100     32      0      0      0      0  13801   2820      0      0  10355      6      0      -      -      0      1     90 
 19:15:32       0    202     55      -     78     38      0      0      0      0  13801   2805      0      0  10355      6      0      -      -      0      0      2 
 19:15:33       0    199     55      -     33     21      0      0      0      0  13801   2797      0      0  10355      6      0      -      -      0     39      1 
 19:15:34       0    210     47      -    100     41      0      0      0      0  13801   2812      0      0  10355      6      0      -      -      0      7      1 
 19:15:35       0    203     53      -    100     38      0      0      0      0  13801   2827      0      0  10355      6      0      -      -      0     11    147 
 19:15:36       0    200     55      -     67     37      0      0      0      0  13801   2797      0      0  10355      6      0      -      -      0    181     90 
 19:15:37       0    200     47      -     82     27      0      0      0      0  13801   2812      0      0  10355      6      0      -      -      0     86    105 
 19:15:38       0    202     53      -    100     25      0      0      0      0  13801   2827      0      0  10355      6      0      -      -      0     31      0 
 19:15:39       0    193     54      -     41     23      0      0      0      0  13801   2797      0      0  10355      6      0      -      -      0      5      1 
 19:15:40       0    200     49      -     74     32      0      0      0      0  13801   2812      0      0  10355      6      0      -      -      0     11    128 
