timestamp,gpu_util_pct,mem_used_mib,temp_c
2026/04/24 11:31:37.049, 0, 951, 30
2026/04/24 11:31:39.071, 3, 1638, 30
2026/04/24 11:31:41.091, 98, 4064, 44
2026/04/24 11:31:43.114, 0, 1007, 32
2026/04/24 11:31:45.136, 99, 6144, 43
2026/04/24 11:31:47.160, 99, 6144, 43
2026/04/24 11:31:49.183, 0, 1007, 34
2026/04/24 11:31:51.203, 99, 8624, 45
2026/04/24 11:31:53.227, 100, 8624, 44
2026/04/24 11:31:55.253, 99, 8624, 45
2026/04/24 11:31:57.277, 0, 1007, 37
2026/04/24 11:31:59.297, 0, 3952, 35
2026/04/24 11:32:01.318, 98, 4064, 47
2026/04/24 11:32:03.340, 0, 1560, 35
2026/04/24 11:32:05.361, 98, 4064, 45
2026/04/24 11:32:07.384, 0, 1007, 36
2026/04/24 11:32:09.405, 99, 6144, 47
2026/04/24 11:32:11.433, 99, 6144, 48
2026/04/24 11:32:13.455, 0, 1007, 37
2026/04/24 11:32:15.531, 99, 6144, 47
2026/04/24 11:32:17.617, 99, 6144, 49
2026/04/24 11:32:19.639, 0, 1007, 38
2026/04/24 11:32:21.660, 100, 6893, 48
2026/04/24 11:32:23.685, 100, 6893, 49
2026/04/24 11:32:25.709, 23, 3926, 41
2026/04/24 11:32:27.731, 26, 6144, 39
2026/04/24 11:32:29.757, 99, 6144, 48
2026/04/24 11:32:31.782, 99, 6144, 49
2026/04/24 11:32:33.802, 5, 8624, 38
2026/04/24 11:32:35.851, 99, 8624, 48
2026/04/24 11:32:37.873, 100, 8624, 50
2026/04/24 11:32:39.898, 100, 8624, 49
2026/04/24 11:32:41.921, 0, 1008, 39
2026/04/24 11:32:43.941, 98, 4064, 49
2026/04/24 11:32:45.962, 0, 1008, 40
2026/04/24 11:32:47.982, 98, 4064, 49
2026/04/24 11:32:50.003, 0, 1008, 39
2026/04/24 11:32:52.024, 98, 4064, 49
2026/04/24 11:32:54.050, 0, 1008, 40
2026/04/24 11:32:56.071, 98, 4064, 49
2026/04/24 11:32:58.094, 5, 1008, 40
2026/04/24 11:33:00.114, 98, 4064, 49
2026/04/24 11:33:02.137, 0, 4064, 41
2026/04/24 11:33:04.158, 93, 8624, 48
2026/04/24 11:33:06.184, 99, 8624, 49
2026/04/24 11:33:08.207, 99, 8624, 52
2026/04/24 11:33:10.233, 100, 8624, 50
2026/04/24 11:33:12.257, 0, 1446, 40
2026/04/24 11:33:14.277, 98, 4064, 50
2026/04/24 11:33:16.301, 0, 1008, 40
2026/04/24 11:33:18.322, 99, 8624, 50
2026/04/24 11:33:20.345, 100, 8624, 51
2026/04/24 11:33:22.371, 100, 8624, 51
2026/04/24 11:33:24.396, 0, 1008, 42
2026/04/24 11:33:26.417, 98, 4064, 50
2026/04/24 11:33:28.438, 0, 1008, 42
2026/04/24 11:33:30.458, 98, 4064, 49
2026/04/24 11:33:32.481, 0, 1008, 44
2026/04/24 11:33:34.501, 55, 6144, 48
2026/04/24 11:33:36.524, 99, 6144, 53
2026/04/24 11:33:38.554, 99, 6144, 51
2026/04/24 11:33:40.576, 2, 6893, 41
2026/04/24 11:33:42.632, 100, 6893, 53
2026/04/24 11:33:44.656, 99, 3926, 48
2026/04/24 11:33:46.676, 0, 1008, 41
2026/04/24 11:33:48.697, 99, 4064, 52
2026/04/24 11:33:50.721, 0, 1008, 41
2026/04/24 11:33:52.745, 99, 8624, 51
2026/04/24 11:33:54.773, 99, 8624, 51
2026/04/24 11:33:56.803, 100, 8624, 53
2026/04/24 11:33:58.825, 0, 1008, 43
2026/04/24 11:34:00.846, 98, 4064, 51
2026/04/24 11:34:02.871, 5, 1008, 43
2026/04/24 11:34:04.892, 99, 6144, 50
2026/04/24 11:34:06.919, 99, 6144, 52
2026/04/24 11:34:08.942, 0, 1008, 44
2026/04/24 11:34:10.962, 73, 4064, 47
2026/04/24 11:34:12.983, 98, 4064, 52
